nombre,total
rancho fatima,1
keiko sofia fujimori,1
lucero,1
parque santa maria magdalena,1
maria cabrejos,1
santa rosalia,1
santa brigida,1
senda blanca,1
juana garcia,1
luz,1
parque santa maria,1
elda,1
arnaldo panizo,1
angela podesta peschiera,1
coral,1
candelaria garcia,1
manuela marticorena,1
josefina sanchez,1
senda lucero,1
senda violeta,1
madre florencia profilio,1
santa genoveva,1
santa rosa (calle 3),1
santa rita casia,1
santa catalina laboure,1
calla santa francisca romana,1
santa edith stein,1
santa juana valois,1
santa gema calgari,1
mariana mendigure,1
carmela combe,1
madre teresa calcuta,1
antonia castro,1
juana dios valencia,1
dionicia cahuaypata,1
nicolasa torres,1
santa emilia,1
