,osm_id,name,highway,railway,amenity,operator,parking,surface,tunnel,bridge,smoothness,width,capacity,layer,public_tra,aeroway,building,barrier,oneway,geometry,names,clean_name,clean_name2,genero,_merge
24599,162875134.0,Pasaje Victoria Navarro,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9770518 -12.0429833, -76.9773076 -12.0433831, -76.9775692 -12.0437689)",Pasaje Victoria Navarro,"['pasaje', 'victoria', 'navarro']","['victoria', 'navarro']",f,both
24637,162878888.0,San Teresita,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.98606340000001 -12.044375, -76.98611320000001 -12.0444001, -76.9872057 -12.0448571)",San Teresita,"['san', 'teresita']",['teresita'],f,both
24662,162932638.0,Estela,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9857758 -12.0130432, -76.9861459 -12.0126954)",Estela,['estela'],['estela'],f,both
24749,163594203.0,Calle Santa María,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.942853 -12.0275832, -76.9427785 -12.0279974, -76.942821 -12.0282616, -76.94282459999999 -12.0285947, -76.9428283 -12.0287405, -76.94284140000001 -12.0292555, -76.9428501 -12.0295994, -76.9427195 -12.0300896, -76.9425406 -12.0307276)",Calle Santa María,"['calle', 'santa', 'maria']","['santa', 'maria']",f,both
24931,163599806.0,La Libertad,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-76.9577393 -12.1338433, -76.95775620000001 -12.1337855, -76.9580916 -12.1334925, -76.9582638 -12.1333375, -76.9583524 -12.1332529, -76.9586795 -12.1328993, -76.9589914 -12.1325544, -76.9593263 -12.1321903)",La Libertad,"['la', 'libertad']",['libertad'],f,both
25084,163611797.0,Calle Santa Rosa,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9348124 -12.1600904, -76.935508 -12.16062, -76.93580059999999 -12.1608601)",Calle Santa Rosa,"['calle', 'santa', 'rosa']","['santa', 'rosa']",f,both
25092,163611827.0,Avenida Santa Rosa,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9484975 -12.1686675, -76.94843849999999 -12.1686254, -76.9481779 -12.1684351, -76.9481179 -12.1683914, -76.9472758 -12.1678369, -76.9464735 -12.1672378, -76.9456127 -12.1667023, -76.94481469999999 -12.1661467, -76.94400469999999 -12.1655999, -76.943168 -12.1650343)",Avenida Santa Rosa,"['avenida', 'santa', 'rosa']","['santa', 'rosa']",f,both
25110,163611879.0,Jirón Libertad,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9437728 -12.1551611, -76.94360349999999 -12.1554103, -76.9434844 -12.1555856, -76.9433317 -12.1558104, -76.94326409999999 -12.1559101, -76.9431974 -12.1560082, -76.9428837 -12.1564742, -76.94254239999999 -12.1569812, -76.9422429 -12.1574259, -76.941942 -12.1578729, -76.94167849999999 -12.1582776, -76.94135369999999 -12.1587466, -76.941098 -12.1591263, -76.9407891 -12.1595861, -76.94019179999999 -12.1604724, -76.93961400000001 -12.1613297, -76.93931859999999 -12.1617693, -76.93906800000001 -12.1621415)",Jirón Libertad,"['jiron', 'libertad']",['libertad'],f,both
25130,163617213.0,Jirón Amarilis,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9444723 -12.1472434, -76.9443005 -12.1470065)",Jirón Amarilis,"['jiron', 'amarilis']",['amarilis'],f,both
25132,163617224.0,Avenida Tingo María,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9415072 -12.1420992, -76.9425763 -12.1423551, -76.9435608 -12.1425673, -76.94447649999999 -12.1427646, -76.94584380000001 -12.1430589, -76.9469565 -12.1432881, -76.94794210000001 -12.1434992, -76.9489524 -12.1437108, -76.9497325 -12.1438732)",Avenida Tingo María,"['avenida', 'tingo', 'maria']","['tingo', 'maria']",f,both
