,osm_id,name,highway,railway,amenity,operator,parking,surface,tunnel,bridge,smoothness,width,capacity,layer,public_tra,aeroway,building,barrier,oneway,geometry,names,clean_name,clean_name2,genero,_merge
39,4828407.0,Avenida Angélica Gamarra,primary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0622798 -12.0042251, -77.0624277 -12.0043334, -77.0625399 -12.0044002, -77.062656 -12.0044542, -77.0627353 -12.0044861, -77.0628217 -12.004513, -77.06289889999999 -12.0045293, -77.0630093 -12.0045468, -77.0630915 -12.0045599, -77.0634579 -12.0046154, -77.0638282 -12.0046735, -77.063911 -12.0046864, -77.06626540000001 -12.0050484, -77.066559 -12.0050949, -77.0672885 -12.0052097, -77.06803480000001 -12.0053126, -77.0681246 -12.0053265, -77.06943099999999 -12.0055157, -77.0695032 -12.0055263, -77.06963020000001 -12.0055447, -77.06968740000001 -12.0055546, -77.070412 -12.0056617, -77.0709221 -12.0057356, -77.071511 -12.0058282, -77.0715707 -12.0058376, -77.0716887 -12.005856, -77.07174670000001 -12.0058651, -77.07191229999999 -12.005891, -77.07250500000001 -12.0059832, -77.0730145 -12.0060624, -77.07337099999999 -12.0061178, -77.07384190000001 -12.006191, -77.07412429999999 -12.0062349, -77.0749225 -12.0063261, -77.0750934 -12.0063135, -77.0757869 -12.0062796, -77.076408 -12.0062431, -77.0764865 -12.0062385, -77.0766871 -12.0062364, -77.0768588 -12.0062397, -77.0771921 -12.0062537, -77.0775795 -12.0062727, -77.07770189999999 -12.0062787, -77.078756 -12.0063303, -77.0789443 -12.0063408, -77.079177 -12.0063538, -77.0804557 -12.0064323, -77.08061530000001 -12.0064416, -77.0812691 -12.0064771, -77.08169940000001 -12.0065037, -77.08210200000001 -12.0065268, -77.0821835 -12.006531, -77.0822332 -12.0065335, -77.0823271 -12.0065383, -77.08255680000001 -12.00655)",Avenida Angélica Gamarra,"['avenida', 'angelica', 'gamarra']","['angelica', 'gamarra']",f,both
46,4828763.0,Avenida Angélica Gamarra,primary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0902877 -12.0118578, -77.0901109 -12.0117767, -77.0899881 -12.0117042, -77.0898873 -12.0116179, -77.0897368 -12.0114996, -77.0894862 -12.0113027)",Avenida Angélica Gamarra,"['avenida', 'angelica', 'gamarra']","['angelica', 'gamarra']",f,both
80,11980238.0,Calle La Santa María,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.03596520000001 -12.1026027, -77.0368359 -12.1025096)",Calle La Santa María,"['calle', 'la', 'santa', 'maria']","['santa', 'maria']",f,both
96,11987056.0,Malecón de la Marina,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0516981 -12.1100679, -77.0516665 -12.1101401, -77.0515824 -12.1102377, -77.051548 -12.1103121, -77.0515395 -12.1103311, -77.05153540000001 -12.1104121, -77.0515321 -12.110479, -77.0515401 -12.1106586, -77.0515719 -12.111369, -77.0515779 -12.1115036, -77.051582 -12.1115588, -77.0515774 -12.1115841, -77.05156030000001 -12.1116137, -77.0514913 -12.1116935, -77.05145520000001 -12.1117138, -77.05138820000001 -12.1117381, -77.0508123 -12.1119519, -77.05068869999999 -12.112031)",Malecón de la Marina,"['malecon', 'de', 'la', 'marina']","['malecon', 'marina']",f,both
147,14341811.0,Santa Fe,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0667102 -12.0344373, -77.0666758 -12.0341357, -77.0666002 -12.0335992, -77.0664823 -12.0330208, -77.06644300000001 -12.032854, -77.0663733 -12.0324633, -77.0663103 -12.0320912)",Santa Fe,"['santa', 'fe']","['santa', 'fe']",f,both
207,24252044.0,Calle María Parado de Bellido,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0303851 -12.1105835, -77.0304581 -12.1105917, -77.03133560000001 -12.1106034, -77.03141460000001 -12.1106045, -77.0323877 -12.1106273)",Calle María Parado de Bellido,"['calle', 'maria', 'parado', 'de', 'bellido']","['maria', 'parado', 'bellido']",f,both
214,24252082.0,Avenida Santa María,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0350456 -12.1079235, -77.03415649999999 -12.1085819, -77.0339848 -12.1086963, -77.0338118 -12.1088597, -77.0337121 -12.1089631, -77.0336336 -12.1090726)",Avenida Santa María,"['avenida', 'santa', 'maria']","['santa', 'maria']",f,both
215,24252085.0,Santa María,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0339848 -12.1086963, -77.0339096 -12.108709, -77.033844 -12.1087125, -77.0337986 -12.1086995, -77.0337521 -12.1086786, -77.0337158 -12.1086441, -77.0336891 -12.108595)",Santa María,"['santa', 'maria']","['santa', 'maria']",f,both
220,24252106.0,Pasaje Juana Alarco de Dammert,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.034437 -12.1111927, -77.0352154 -12.1109115)",Pasaje Juana Alarco de Dammert,"['pasaje', 'juana', 'alarco', 'de', 'dammert']","['juana', 'alarco', 'dammert']",f,both
307,24252822.0,Calle Libertad,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0328494 -12.1191415, -77.0327041 -12.1207242, -77.03267339999999 -12.1213224)",Calle Libertad,"['calle', 'libertad']",['libertad'],f,both
310,24252825.0,Calle Libertad,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.03250009999999 -12.1214793, -77.0329258 -12.121935, -77.03330649999999 -12.1223425)",Calle Libertad,"['calle', 'libertad']",['libertad'],f,both
367,24266767.0,Calle Doña Amalia,residential,,,,,concrete,,,,,,,,,,,no,"LINESTRING (-77.0404948 -12.1042362, -77.0404784 -12.1041611, -77.0402675 -12.1031933)",Calle Doña Amalia,"['calle', 'doña', 'amalia']","['doña', 'amalia']",f,both
371,24266776.0,Calle Santa Teresita,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0479047 -12.1097261, -77.0474461 -12.1092988, -77.0473133 -12.1087321, -77.047195 -12.1081868, -77.0470504 -12.1075205, -77.04685139999999 -12.1066875)",Calle Santa Teresita,"['calle', 'santa', 'teresita']","['santa', 'teresita']",f,both
372,24266778.0,Calle Santa Margarita,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0470504 -12.1075205, -77.046223 -12.1077062, -77.0456516 -12.1078269, -77.0450429 -12.1079553, -77.0446621 -12.1080357, -77.043909 -12.1081835)",Calle Santa Margarita,"['calle', 'santa', 'margarita']","['santa', 'margarita']",f,both
373,24266786.0,Avenida Belén,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0482476 -12.1093819, -77.0482221 -12.1092688, -77.04807719999999 -12.108627, -77.0480609 -12.1085549, -77.0480482 -12.1084975, -77.04802340000001 -12.1083853, -77.0478298 -12.1074564)",Avenida Belén,"['avenida', 'belen']",['belen'],f,both
444,24281798.0,Calle Santa Luisa,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0353954 -12.0964359, -77.03534260000001 -12.0963472, -77.0349566 -12.0957574, -77.034846 -12.0956092, -77.0345088 -12.0951336)",Calle Santa Luisa,"['calle', 'santa', 'luisa']","['santa', 'luisa']",f,both
473,24281872.0,Calle La Perricholi,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.032191 -12.0923859, -77.03210780000001 -12.0923713, -77.0319404 -12.092334, -77.0314511 -12.0922557, -77.0312885 -12.0922269, -77.0307854 -12.092155, -77.0305594 -12.0921215, -77.0305187 -12.0921155, -77.0304635 -12.0921339, -77.0304019 -12.0921914)",Calle La Perricholi,"['calle', 'la', 'perricholi']",['perricholi'],f,both
477,24281887.0,Calle La Perricholi,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0329909 -12.0934469, -77.03223730000001 -12.0924986, -77.0321826 -12.0924297)",Calle La Perricholi,"['calle', 'la', 'perricholi']",['perricholi'],f,both
550,24305315.0,Mama Ocllo,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.04405300000001 -12.0848787, -77.0439026 -12.0859365, -77.043752 -12.0869861, -77.04365610000001 -12.0876544)",Mama Ocllo,"['mama', 'ocllo']","['mama', 'ocllo']",f,both
555,24305342.0,Jirón Mama Ocllo,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.04431219999999 -12.0837462, -77.04416569999999 -12.0847982)",Jirón Mama Ocllo,"['jiron', 'mama', 'ocllo']","['mama', 'ocllo']",f,both
604,24306361.0,Calle Flora Tristan,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.0584236 -12.0967035, -77.05838060000001 -12.0966138, -77.0579553 -12.0956916, -77.0577747 -12.0952843, -77.05771919999999 -12.0951467, -77.0575231 -12.0947452, -77.0571913 -12.0940245, -77.0571678 -12.0939735, -77.0570795 -12.0937906, -77.05705879999999 -12.0937467, -77.056669 -12.0929218, -77.0563487 -12.0923394, -77.05619280000001 -12.0920558, -77.0558448 -12.091423)",Calle Flora Tristan,"['calle', 'flora', 'tristan']","['flora', 'tristan']",f,both
613,24306492.0,Jirón María Parado de Bellido,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.0610227 -12.0917374, -77.0598703 -12.090055, -77.0592649 -12.0891669)",Jirón María Parado de Bellido,"['jiron', 'maria', 'parado', 'de', 'bellido']","['maria', 'parado', 'bellido']",f,both
741,24315663.0,Calle Esperanza,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0289913 -12.1203741, -77.0277127 -12.1203947, -77.0276653 -12.1203958, -77.02752340000001 -12.1203963, -77.0267557 -12.1203992, -77.0257637 -12.1204238)",Calle Esperanza,"['calle', 'esperanza']",['esperanza'],f,both
819,24332019.0,Avenida Mayor Arce de la Oliva,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0172924 -12.1193658, -77.0166706 -12.1193552, -77.0159963 -12.1193448, -77.015344 -12.1193342, -77.0147001 -12.1193237, -77.01437079999999 -12.1193183, -77.01380760000001 -12.1193092)",Avenida Mayor Arce de la Oliva,"['avenida', 'mayor', 'arce', 'de', 'la', 'oliva']","['mayor', 'arce', 'oliva']",f,both
842,24332265.0,Santa Lucia,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0148057 -12.1155299, -77.0146 -12.1155189, -77.0143782 -12.1155059, -77.0141552 -12.1154939, -77.0139355 -12.1154866, -77.01370470000001 -12.1154736, -77.0135607 -12.1154659, -77.0134951 -12.1154622)",Santa Lucia,"['santa', 'lucia']","['santa', 'lucia']",f,both
891,25111783.0,Avenida Santa Elvira,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.07387850000001 -11.9540892, -77.07370349999999 -11.9551192, -77.07361400000001 -11.9556893, -77.07356710000001 -11.9559881, -77.0733773 -11.9571976, -77.0730564 -11.9592426, -77.0730516 -11.9593416)",Avenida Santa Elvira,"['avenida', 'santa', 'elvira']","['santa', 'elvira']",f,both
902,25112398.0,Calle Agua Dulce,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9859048 -12.0348738, -76.98627209999999 -12.0346066, -76.986592 -12.0343759, -76.98688749999999 -12.0341575, -76.9872173 -12.0339139, -76.9875037 -12.0336989, -76.9878052 -12.0334698)",Calle Agua Dulce,"['calle', 'agua', 'dulce']","['agua', 'dulce']",f,both
976,25113831.0,Rosa de America,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.06395449999999 -11.9619118, -77.06386980000001 -11.9619314, -77.06382410000001 -11.961949, -77.0637746 -11.961971, -77.0637059 -11.9619981, -77.0636255 -11.9620388, -77.06350759999999 -11.962138, -77.06345709999999 -11.9622412, -77.0632372 -11.9633715, -77.06288309999999 -11.964903, -77.0628602 -11.9649925, -77.0628337 -11.9650962, -77.06268780000001 -11.9658073, -77.0625289 -11.9664871, -77.0623531 -11.96715, -77.061823 -11.9694839, -77.0617867 -11.9696438, -77.0613707 -11.9715203, -77.0610142 -11.9731283, -77.0608491 -11.9738563, -77.06050759999999 -11.9753623, -77.0603562 -11.9760207, -77.0602679 -11.9765147, -77.0602543 -11.9766191, -77.0602415 -11.976736)",Rosa de America,"['rosa', 'de', 'america']","['rosa', 'america']",f,both
991,25138076.0,Santa Angelica,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0670702 -11.948417, -77.0677433 -11.9485594, -77.06787629999999 -11.9486498, -77.0684727 -11.9492235, -77.06911890000001 -11.9499135, -77.0694495 -11.9502447, -77.06992339999999 -11.9507309, -77.0699723 -11.9507674, -77.07002869999999 -11.950783)",Santa Angelica,"['santa', 'angelica']","['santa', 'angelica']",f,both
994,25138104.0,Santa Monica,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0681725 -11.9475686, -77.06807499999999 -11.9475725, -77.0672632 -11.9474253, -77.0662634 -11.9472243, -77.0660335 -11.9471757)",Santa Monica,"['santa', 'monica']","['santa', 'monica']",f,both
996,25138108.0,Santa Marina,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0683487 -11.9474936, -77.06827509999999 -11.9479271, -77.0682633 -11.9479964, -77.0682633 -11.9480657, -77.0682944 -11.9481321, -77.0685251 -11.9483314, -77.06862769999999 -11.9484177, -77.0686666 -11.9484504, -77.06900520000001 -11.9487205, -77.06925649999999 -11.9490185, -77.0694493 -11.949226, -77.0697435 -11.9495823, -77.0697892 -11.9496062, -77.0698244 -11.9496146, -77.0698744 -11.9496094, -77.06993780000001 -11.9495821)",Santa Marina,"['santa', 'marina']","['santa', 'marina']",f,both
997,25138111.0,Santa Monica,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0682094 -11.9474678, -77.0683487 -11.9474936, -77.06924050000001 -11.9476119, -77.0697227 -11.9476918, -77.0701978 -11.9477586)",Santa Monica,"['santa', 'monica']","['santa', 'monica']",f,both
1000,25138142.0,Rosa de America,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0651249 -11.9524447, -77.0650911 -11.9526992, -77.0650339 -11.953002, -77.0645418 -11.9556045, -77.06451010000001 -11.9557771, -77.0644879 -11.9559368)",Rosa de America,"['rosa', 'de', 'america']","['rosa', 'america']",f,both
1040,27767530.0,Libertad,residential,,,,,,,,,,,,,,,,no,"LINESTRING (-77.11426160000001 -12.0460608, -77.1141859 -12.0456016)",Libertad,['libertad'],['libertad'],f,both
1049,27767555.0,Avenida Santa Rosa (auxiliar),residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.11553309999999 -12.0458333, -77.11556299999999 -12.0448134, -77.11559099999999 -12.0440168, -77.115599 -12.0437879, -77.11563649999999 -12.0433417, -77.11563339999999 -12.0428072, -77.1156354 -12.0427357, -77.1156465 -12.0426085, -77.115656 -12.0425328, -77.11566689999999 -12.0423219, -77.11568750000001 -12.0420318, -77.1157085 -12.041736, -77.11572270000001 -12.0415013, -77.1157401 -12.0411493, -77.1157571 -12.0408492, -77.11576719999999 -12.040655)",Avenida Santa Rosa (auxiliar),"['avenida', 'santa', 'rosa', '(auxiliar)']","['santa', 'rosa', '(auxiliar)']",f,both
1058,27767567.0,Avenida Santa Rosa,secondary,,,,,paved,,,,,,,,,,,yes,"LINESTRING (-77.1156567 -12.0458112, -77.1157274 -12.0440171, -77.115773 -12.0433109)",Avenida Santa Rosa,"['avenida', 'santa', 'rosa']","['santa', 'rosa']",f,both
1059,27767570.0,Avenida Santa Rosa (auxiliar),living_street,,,,,,,,,,,,,,,,,"LINESTRING (-77.1160244 -12.042576, -77.1160126 -12.0426128, -77.11600730000001 -12.0426496, -77.11601159999999 -12.0426958, -77.11601589999999 -12.0427368, -77.1160352 -12.0427673, -77.1160369 -12.0430947, -77.1160239 -12.0434876, -77.11601 -12.0438798, -77.1159578 -12.0450147, -77.11594150000001 -12.0453928)",Avenida Santa Rosa (auxiliar),"['avenida', 'santa', 'rosa', '(auxiliar)']","['santa', 'rosa', '(auxiliar)']",f,both
1163,28185186.0,Avenida La Libertad,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0836272 -12.0885599, -77.0844597 -12.0881824, -77.0852312 -12.087829, -77.0854666 -12.0877165, -77.0860749 -12.0874256, -77.0870468 -12.0869722)",Avenida La Libertad,"['avenida', 'la', 'libertad']",['libertad'],f,both
1281,28811075.0,Calle Doña Delmira,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.002698 -12.1433383, -77.0028318 -12.1432463, -77.0028782 -12.1432153, -77.00303580000001 -12.1431076, -77.0040102 -12.1424364, -77.0040802 -12.142387)",Calle Doña Delmira,"['calle', 'doña', 'delmira']","['doña', 'delmira']",f,both
1295,28815188.0,Avenida Tingo María,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0608479 -12.0668709, -77.0608653 -12.0668362, -77.0608725 -12.0668066, -77.0608795 -12.0667658, -77.0608762 -12.0667319, -77.0608525 -12.0666577, -77.0605959 -12.0659101, -77.060411 -12.0653866, -77.06032020000001 -12.0651298, -77.06026060000001 -12.0649586, -77.06020359999999 -12.0648004, -77.0601801 -12.0647224, -77.0598638 -12.0638498, -77.05985029999999 -12.0638079, -77.0598035 -12.063671, -77.0597897 -12.06363, -77.0597839 -12.0636151)",Avenida Tingo María,"['avenida', 'tingo', 'maria']","['tingo', 'maria']",f,both
1296,28815196.0,Avenida Tingo María,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.05399869999999 -12.0475404, -77.0539869 -12.0476522, -77.0538511 -12.0489357, -77.0538435 -12.0490027)",Avenida Tingo María,"['avenida', 'tingo', 'maria']","['tingo', 'maria']",f,both
1308,28866277.0,Avenida Santa Rosa,primary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.1236959 -12.07365, -77.1237012 -12.0735814, -77.1232469 -12.0726751, -77.12320080000001 -12.072592)",Avenida Santa Rosa,"['avenida', 'santa', 'rosa']","['santa', 'rosa']",f,both
1335,29874531.0,Avenida Santa Rosa,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.1024649 -11.9996931, -77.1023402 -11.9994878, -77.1022466 -11.9993385, -77.1022323 -11.9993157, -77.102009 -11.9989159, -77.1012758 -11.9976642, -77.100922 -11.9970416, -77.1007134 -11.9966724, -77.1007077 -11.9966622, -77.1004319 -11.9961809, -77.0999841 -11.9954116, -77.09958760000001 -11.9947143, -77.09951289999999 -11.9945926)",Avenida Santa Rosa,"['avenida', 'santa', 'rosa']","['santa', 'rosa']",f,both
1344,31274135.0,Avenida Santa Rosa,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.1153489 -12.0498631, -77.11534140000001 -12.0499491, -77.1152719 -12.0508201, -77.11525519999999 -12.0510291, -77.1151287 -12.052615, -77.1151467 -12.0527655, -77.11522789999999 -12.0530295, -77.1152057 -12.0534802, -77.1151861 -12.0535922)",Avenida Santa Rosa,"['avenida', 'santa', 'rosa']","['santa', 'rosa']",f,both
1345,31274142.0,Avenida Santa Rosa,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.11498539999999 -12.053466, -77.114982 -12.052875, -77.1149972 -12.0524681, -77.11500789999999 -12.0520171, -77.1150531 -12.0515251, -77.1151076 -12.0510106, -77.1151816 -12.0499347)",Avenida Santa Rosa,"['avenida', 'santa', 'rosa']","['santa', 'rosa']",f,both
1381,32968982.0,Bartola Sanchez Dávila,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.00827390000001 -12.1784148, -77.0089327 -12.1790297, -77.0093143 -12.1793774)",Bartola Sanchez Dávila,"['bartola', 'sanchez', 'davila']","['bartola', 'sanchez', 'davila']",f,both
1454,33751531.0,Avenida La Merced,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0095791 -12.1275322, -77.00960430000001 -12.127654)",Avenida La Merced,"['avenida', 'la', 'merced']",['merced'],f,both
1455,33751740.0,Avenida La Merced,tertiary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.01021110000001 -12.1361697, -77.0102558 -12.1363263, -77.0102808 -12.1364138, -77.0102895 -12.1364798, -77.0102796 -12.1365063, -77.010271 -12.1365209, -77.010259 -12.1365327, -77.01025060000001 -12.1365376, -77.01023979999999 -12.1365427, -77.0102282 -12.1365446, -77.0102151 -12.136545, -77.01019909999999 -12.1365434, -77.0101849 -12.1365373, -77.0101658 -12.1365178, -77.01015769999999 -12.1364966, -77.0101038 -12.1362875, -77.010085 -12.1362234, -77.00993080000001 -12.1356983, -77.00986930000001 -12.1354891, -77.0098069 -12.1352765, -77.00965770000001 -12.1347951, -77.0096343 -12.1347195)",Avenida La Merced,"['avenida', 'la', 'merced']",['merced'],f,both
1479,33752561.0,Virgen de las Mercedes,footway,,,,,,,,,,,,,,,,,"LINESTRING (-77.0099055 -12.1328604, -77.0102681 -12.132732)",Virgen de las Mercedes,"['virgen', 'de', 'las', 'mercedes']","['virgen', 'mercedes']",f,both
1481,33752747.0,Santa Camela,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.0154074 -12.1324344, -77.01555810000001 -12.1325963, -77.0156305 -12.1328016, -77.01563899999999 -12.1330125, -77.01628239999999 -12.1336465)",Santa Camela,"['santa', 'camela']","['santa', 'camela']",f,both
1484,33752824.0,Irma Gamero de Planas,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.01576319999999 -12.1304256, -77.015861 -12.130493, -77.0159524 -12.1305803, -77.0160771 -12.1307911, -77.0162753 -12.13122, -77.01649949999999 -12.1316672, -77.01655359999999 -12.1317951, -77.01675109999999 -12.1322362, -77.0168824 -12.1324516, -77.0170746 -12.1326347, -77.01711589999999 -12.1326852, -77.017151 -12.1327606, -77.0171789 -12.1328603, -77.0171801 -12.1330981, -77.0171713 -12.1336616)",Irma Gamero de Planas,"['irma', 'gamero', 'de', 'planas']","['irma', 'gamero', 'planas']",f,both
1520,33820128.0,Jirón Sor Tita,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.00889050000001 -12.1277623, -77.0089364 -12.1280364, -77.0089412 -12.1280653, -77.0089452 -12.1282184, -77.00894099999999 -12.1283661, -77.0088769 -12.1289761, -77.0088026 -12.129698, -77.0087967 -12.1297891, -77.00877939999999 -12.130058, -77.00874760000001 -12.1303522)",Jirón Sor Tita,"['jiron', 'sor', 'tita']","['sor', 'tita']",f,both
1523,33820163.0,Jirón Sor Mate,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.0081546 -12.1323149, -77.0077174 -12.1311179)",Jirón Sor Mate,"['jiron', 'sor', 'mate']","['sor', 'mate']",f,both
1542,33820664.0,Calle Santa Dora,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.0085936 -12.1328361, -77.0088745 -12.134078)",Calle Santa Dora,"['calle', 'santa', 'dora']","['santa', 'dora']",f,both
1552,34089799.0,Calle Doña Barbara de Braganza,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.001316 -12.13249, -77.0013051 -12.1323854, -77.0012842 -12.1322599, -77.0011812 -12.1320837, -77.0008036 -12.131362, -77.0007162 -12.1312261, -77.00063780000001 -12.1311253, -77.0004617 -12.130983)",Calle Doña Barbara de Braganza,"['calle', 'doña', 'barbara', 'de', 'braganza']","['doña', 'barbara', 'braganza']",f,both
1619,34112011.0,Pasaje Santa Marta,living_street,,,,,,,,,,,,,,,,,"LINESTRING (-77.0153737 -12.1374055, -77.0153238 -12.1374093, -77.0149682 -12.1377497, -77.01496419999999 -12.1377793)",Pasaje Santa Marta,"['pasaje', 'santa', 'marta']","['santa', 'marta']",f,both
1643,34113354.0,Galvez Barrenechea,secondary_link,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0122372 -12.0978072, -77.0123246 -12.0978436, -77.0123818 -12.0978582, -77.012407 -12.0978537, -77.0124282 -12.0978438, -77.0124512 -12.0978185, -77.0124773 -12.0977819, -77.01256619999999 -12.0973668, -77.0126441 -12.0970512)",Galvez Barrenechea,"['galvez', 'barrenechea']","['galvez', 'barrenechea']",f,both
1663,34187993.0,Avenida Esmeralda,tertiary,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-76.9825824 -12.1078017, -76.98147950000001 -12.1077268, -76.9813122 -12.1077171, -76.9811552 -12.1077173, -76.98101920000001 -12.1077248, -76.9809133 -12.1077407, -76.9807989 -12.1077568, -76.9806057 -12.107799)",Avenida Esmeralda,"['avenida', 'esmeralda']",['esmeralda'],f,both
1664,34188004.0,Avenida Esmeralda,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-76.98480979999999 -12.1077689, -76.98488949999999 -12.1077745, -76.98576420000001 -12.1078366, -76.9861971 -12.1078672)",Avenida Esmeralda,"['avenida', 'esmeralda']",['esmeralda'],f,both
1712,34401717.0,Calle Libertad,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.1014936 -12.0411498, -77.101417 -12.042299, -77.1013914 -12.0425896, -77.101364 -12.0429021, -77.1013293 -12.0432872, -77.10129329999999 -12.0436937, -77.1012927 -12.0437006)",Calle Libertad,"['calle', 'libertad']",['libertad'],f,both
1839,35090750.0,Avenida Flora Tristán,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-76.93935 -12.075712, -76.9394295 -12.0755616, -76.9394758 -12.075427, -76.9394772 -12.0752002, -76.9395481 -12.0737847, -76.9395722 -12.0735465, -76.9396409 -12.073339, -76.93976000000001 -12.0731313, -76.9399451 -12.0729273, -76.9404108 -12.0724321, -76.94044890000001 -12.0723912, -76.9406273 -12.0722348)",Avenida Flora Tristán,"['avenida', 'flora', 'tristan']","['flora', 'tristan']",f,both
1865,35106621.0,Avenida Santa Catalina,tertiary,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.0185877 -12.0884721, -77.0186716 -12.0880068, -77.0188404 -12.0868235, -77.0188978 -12.08626, -77.0188677 -12.0859518, -77.01883340000001 -12.0857665, -77.01873620000001 -12.08549, -77.01866800000001 -12.0853344, -77.01843289999999 -12.0848812, -77.0183981 -12.084814, -77.0183471 -12.0847158, -77.0181098 -12.0842191, -77.0178743 -12.0836892, -77.017641 -12.083154, -77.0174045 -12.0826198, -77.0172462 -12.0822628, -77.01718339999999 -12.0821254, -77.0171548 -12.0820629, -77.0171388 -12.0820239, -77.01708360000001 -12.0818852)",Avenida Santa Catalina,"['avenida', 'santa', 'catalina']","['santa', 'catalina']",f,both
1866,35106622.0,Avenida Santa Catalina,tertiary,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.0168237 -12.0805883, -77.0168862 -12.0810752, -77.01694139999999 -12.0812093, -77.0170246 -12.081409, -77.0170914 -12.0815691, -77.0171548 -12.0817271, -77.0171727 -12.0817719, -77.0171964 -12.0818309)",Avenida Santa Catalina,"['avenida', 'santa', 'catalina']","['santa', 'catalina']",f,both
1909,35116499.0,La Merced,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0147542 -12.0829474, -77.01465829999999 -12.0827346, -77.01451779999999 -12.082423, -77.014342 -12.0820371, -77.01415900000001 -12.0816338, -77.0139578 -12.0812104, -77.0134221 -12.0800571, -77.0133823 -12.0798356)",La Merced,"['la', 'merced']",['merced'],f,both
2025,35186064.0,Jirón La Victoria,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.1127326 -12.0421895, -77.11303150000001 -12.0421147, -77.1132861 -12.042051, -77.1135333 -12.0419891, -77.11383960000001 -12.0419125)",Jirón La Victoria,"['jiron', 'la', 'victoria']",['victoria'],f,both
