nombre,total
inca moya,6
domingo elias,6
jose galdeano mendoza,6
marques torre tagle,6
benjamin doig,6
ovalo federico villarreal,6
jose leal,6
san valentin,6
manuel ascencio segura,6
michael faraday,6
francisco javier mariategui,6
ricardo malachowsky,6
manuel perez tudela,6
marcos llanos,6
aurelio miro quesada,6
carlos saco,6
paul harris,6
coronel edmundo aguilar pastor,6
andres bello,6
lizardo montero,6
ramon dagnino,6
santa ines,6
san bartolo,6
juan fanning,6
san vicente,6
joaquin capello,6
juan pablo vizcardo guzman,6
juan crespo castillo,6
san jorge,6
fray luis leon,6
canto rey,6
toribio rodriguez mendoza,6
antonio raymondi,6
augusto avelino caceres,6
republica israel,6
manuel villar,6
baños inca,6
sanzio,6
juan pazos,6
ramon guerrero,6
antonio miro quezada,6
hugo espinoza,6
jose gonzales,6
enrique palacios,6
pancho fierro,6
gregorio apaza,6
jose maria cordova,6
colonel juan valer sandoval,6
garcia calderon,6
carlos alcorta,6
padre urraca,6
san gregorio,6
enrique pallardelle,6
carlos a. ferreyra u.,6
federico chopin,6
juan neyra,6
sergio bernales,6
afranio mello franco,6
francisco masias,6
enrique camino brent,6
enrique guzman valle,6
esteban campodonico,6
san juan villa,6
carlos arrieta,6
general jose maria cordova,6
santo tomas,6
virgen guadalupe,6
roberto thorndike galup,6
santiago,6
san gabriel,6
ovalo tomas valle,5
hermes,5
general vargas machuca,5
augusto bernardino leguia,5
mateo silva,5
pascual saco oliveros,5
hernan velarde,5
francisco mendez,5
jose choquehuanca,5
ovalo elmer faucett,5
federico recavarren,5
lopez ayala,5
manuel castañeda,5
joaquin torrico,5
9 julio,5
general suarez,5
jose llano zapata,5
luis prado,5
jacinto benavente,5
jose sucre,5
coronel cipriano zegarra,5
jose santiago wagner,5
anton sanchez,5
eloy ureta,5
jose carlos maretegui,5
thomas cochrane,5
teodoro cardenas,5
victor alzamora,5
emilio fernandez,5
luis sanchez cerro,5
diego cordova salinas,5
jesus morales,5
hermilio valdizan,5
angel,5
pedro coronado,5
manuel almenara,5
mariano necochea,5
astete,5
hermilio valdizan medrano,5
juan hoyle palacios,5
baltazar grados,5
federico villareal,5
alipio ponce vasquez,5
julio calero,5
pedro delgado,5
ramon ribeyro,5
jose diez canseco,5
mariscal caceres,5
batalla san juan,5
fortunato quezada,5
general manuel l. vivanco,5
juan tello,5
luis braile,5
fray angelico,5
jose lopez pazos,5
joaquin bernal,5
manuel quimper,5
toribio rodriguez,5
adolfo king,5
pedro ruiz,5
renan elias olivera,5
san salvador,5
israel,5
san bartolome,5
manuel pazos,5
teniente enrique palacios,5
carlos baca flor,5
coronel placencia,5
huascar marcelo,5
felipe pinglo alva,5
manuel montero rosas,5
miguel echenique,5
fernando wiesse,5
octavio espinoza,5
guillermo prescott,5
juan castro,5
tomas farfan,5
auxiliar isabel chimpu ocllo,5
ricardo angulo,5
jorge guillermo legula,5
san ramon,5
natalio sanchez,5
virgen rosario,5
carlos mariategui,5
alcides vigo hurtado,5
ricardo rosell,5
luis montero,5
juan castilla,5
arturo suarez,5
dean valdivia,5
arenales,5
victor reynel,5
virrey toledo,5
general cesar canevaro,5
genaro numa llona,5
coronel agustin gamarra,5
monte carmelo,5
luis aldana,5
manuel belgrano,5
juan pablo fernandini,5
saul cantoral,5
adolfo viera,5
manuel casos,5
carlos concha,5
arquitecto roberto hackert,5
manuel bañon,5
federico barreto,5
dionisio derteano,5
carlos augusto salaverry,5
federico noguera,5
paul linder lob,4
mariscal luzuriaga,4
luis velasquez,4
matier,4
san jeronimo,4
san luis gonzaga,4
manuel odria,4
carlos german amezaga,4
jose gabriel chariarse,4
san juan masias,4
jose rufino echenique,4
mariano jurado reyes,4
juan sifuentes,4
emilio rios,4
puerto inca,4
simon ortiz vega,4
via expresa grau,4
manuel salcedo,4
antonio cabo,4
aurelio garcia garcia,4
gualberto guevara,4
jose torres paz,4
johan strauss,4
capitan alfredo novoa cava,4
prado,4
jorge vinatea reinoso,4
ismael bielich flores,4
daniel a. carrion,4
jose paez,4
juan montoya,4
nuevo israel,4
san roman,4
reynaldo saavedra pinon,4
san pedro lucanas,4
jose leon barandiaran,4
belisario sosa pelaez,4
daniel alomia robles,4
cruz sur,4
julio bailetti,4
felipe oliva,4
carlos heros,4
inca pachacutec,4
fernando mesarina,4
isidro alcibar,4
jose santos atahualpa,4
manuel valle,4
juan jose paso,4
carlos valderrama,4
fray padre urraca,4
jose maria seguin,4
galileo galilei,4
anselmo andia,4
refugio,4
san roberto,4
hector arellano,4
manuel candamo,4
joaquin madrid,4
cristobal peralta norte,4
general canterac,4
coronel luna peralta,4
pedro candia,4
felipe mendizabal,4
manuel gomez,4
luis escobar aburto,4
victor castro iglesias,4
edgardo rebagliati,4
manuel arias,4
daniel velez,4
cristobal peralta sur,4
manco cahuide,4
mariscal r. benavides,4
nicolàs rodrigo,4
matias maestro,4
don felipe,4
viaducto manco capac,4
san genaro,4
leon velarde,4
alfredo galeon,4
coronel luis arias schreiber,4
manuel velarde,4
martin olaya,4
ismael escobar,4
rodolfo campo,4
ramon espinoza,4
jose paredes roncal,4
teniente tomas garrido,4
alferez alfredo salazar,4
3 julio,4
dario valdizan,4
santo toribio mogrobejo,4
camilo carrillo,4
cieza leon,4
